api-1  | INFO:     Started server process [10]
api-1  | INFO:     Waiting for application startup.
api-1  | INFO:     Application startup complete.
api-1  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
api-1  | {"timestamp": "2026-04-03T20:13:17.903913+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "a7a7c2af", "trace_id": "a9fe3b2bc1196d60180f03b58af5cef8", "span_id": "1f521e86b56c4f89", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "GET", "path": "/api/v1/dashboard/summary"}}
api-1  | {"timestamp": "2026-04-03T20:13:17.925930+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "e12fba42", "trace_id": "6051f5f376f6a6e43189eba2ccae3183", "span_id": "7cfe24d9b9c70c88", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "GET", "path": "/api/v1/dashboard/my-tasks"}}
api-1  | {"timestamp": "2026-04-03T20:13:17.940121+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "98c01cb5", "trace_id": "4d0df060d39303da24a55ba1cb0c473a", "span_id": "e9e991e57ab78761", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "GET", "path": "/api/v1/dashboard/activities"}}
api-1  | {"timestamp": "2026-04-03T20:13:17.943614+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "e12fba42", "trace_id": "6051f5f376f6a6e43189eba2ccae3183", "span_id": "7cfe24d9b9c70c88", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "GET", "path": "/api/v1/dashboard/my-tasks", "status_code": 404, "duration_ms": 17.58}}
api-1  | {"timestamp": "2026-04-03T20:13:17.945468+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "98c01cb5", "trace_id": "4d0df060d39303da24a55ba1cb0c473a", "span_id": "e9e991e57ab78761", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "GET", "path": "/api/v1/dashboard/activities", "status_code": 404, "duration_ms": 5.26}}
api-1  | {"timestamp": "2026-04-03T20:13:19.418922+00:00", "level": "warning", "service": "api", "logger": "app.core.alerts", "tenant_id": "2", "user_id": "1", "request_id": "a7a7c2af", "trace_id": "a9fe3b2bc1196d60180f03b58af5cef8", "span_id": "1f521e86b56c4f89", "action": "operational.alert.webhook_failed", "message": "Falha ao disparar webhook de alerta", "metadata": {"category": "latency", "severity": "warning", "alert_id": "faa8c2ca-f5a1-4e2a-b59f-9814622375ae", "error": "[Errno 101] Network is unreachable", "traceparent": "00-a9fe3b2bc1196d60180f03b58af5cef8-1f521e86b56c4f89-01", "auth_enabled": false, "signature_enabled": false}}
api-1  | {"timestamp": "2026-04-03T20:13:19.421033+00:00", "level": "warning", "service": "api", "logger": "app.core.alerts", "tenant_id": "2", "user_id": "1", "request_id": "a7a7c2af", "trace_id": "a9fe3b2bc1196d60180f03b58af5cef8", "span_id": "1f521e86b56c4f89", "action": "operational.alert", "message": "Request acima do SLO de latência", "metadata": {"category": "latency", "severity": "warning", "method": "GET", "path": "/api/v1/dashboard/summary", "status_code": 200, "threshold_ms": 500, "duration_ms": 983.91}}
