identifier,titulo,url,bloco,orgao,esfera,uf,tipo,status_fonte,fonte_oficial,vigencia_inicio,vigencia_fim,sucessora_ref,validation_keyword,demand_types,observacao_curadoria
Lei 12.651/2012,Lei nº 12.651/2012 — Código Florestal; cria o CAR como registro público eletrônico nacional obrigatório para imóveis rurais,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12651.htm,02,União,federal,,norma,Fonte oficial validada,,,,,12.651,defesa,macrotemas: Cadastro Ambiental Rural
Decreto 7.830/2012,"Decreto nº 7.830/2012 — dispõe sobre o SICAR, o CAR e normas gerais dos Programas de Regularização Ambiental",https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/decreto/d7830.htm,02,Presidência da República,federal,,norma,Fonte oficial validada,,,,,7.830,defesa,macrotemas: SICAR e integração nacional
Decreto 8.235/2014,Decreto nº 8.235/2014 — normas gerais complementares aos PRAs e regras relacionadas ao CAR,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2014/decreto/d8235.htm,02,Presidência da República,federal,,norma,Fonte oficial validada,,,,,8.235,defesa,macrotemas: Cadastro Ambiental Rural e PRA
Instrução Normativa 2/2014,"Instrução Normativa MMA nº 2/2014 — integração, execução e compatibilização do SICAR e procedimentos gerais do CAR",https://www.car.gov.br/leis/IN_CAR.pdf,02,Ministério do Meio Ambiente,federal,,norma,Fonte não acessível (TLS),,,,,2,defesa,"car.gov.br fecha a conexão TLS (EOF). A IN MMA 02/2014 JÁ ESTÁ no corpus (ingerida de disco em abril) — nada se perde, mas a URL da planilha não serve."
Decreto 11.015/2022,Decreto nº 11.015/2022 — institui o Plano Nacional de Regularização Ambiental de Imóveis Rurais e seu Comitê Gestor,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/decreto/d11015.htm,02,Presidência da República,federal,,norma,Fonte oficial validada,,,,,11.015,defesa,macrotemas: Plano Nacional de Regularização Ambiental
Lei 5.868/1972,Lei nº 5.868/1972 — institui o Sistema Nacional de Cadastro Rural,https://www.planalto.gov.br/ccivil_03/leis/l5868.htm,02,União,federal,,norma,Fonte oficial validada,,,,,5.868,defesa,macrotemas: SNCR e cadastro rural
Lei 10.267/2001,"Lei nº 10.267/2001 — altera normas agrárias, registrais e cria base comum do CNIR",https://www.planalto.gov.br/ccivil_03/leis/leis_2001/l10267.htm,02,União,federal,,norma,Fonte oficial validada,,,,,10.267,defesa,macrotemas: CNIR e integração cadastral
Decreto 4.449/2002,Decreto nº 4.449/2002 — regulamenta a Lei nº 10.267/2001 e regras de georreferenciamento/certificação,https://www.planalto.gov.br/ccivil_03/decreto/2002/d4449.htm,02,Presidência da República,federal,,norma,Fonte oficial validada,,,,,4.449,defesa,macrotemas: Georreferenciamento de imóveis rurais
Decreto 12.689/2025,Decreto nº 12.689/2025 — altera o Decreto nº 4.449/2002 quanto à exigência de identificação da área do imóvel rural,https://www2.camara.leg.br/legin/fed/decret/2025/decreto-12689-21-outubro-2025-798175-publicacaooriginal-176788-pe.html,02,Presidência da República,federal,,norma,Fonte oficial validada,,,,,12.689,defesa,macrotemas: Prazos e exigência de identificação do imóvel rural
Lei 6.015/1973,Lei nº 6.015/1973 — Lei de Registros Públicos; descrição e identificação de imóvel rural,https://www.planalto.gov.br/ccivil_03/leis/l6015compilada.htm,02,União,federal,,norma,Fonte oficial validada,,,,,6.015,defesa,macrotemas: Registro público e especialidade objetiva
Instrução Normativa 77/2013,Instrução Normativa Incra nº 77/2013 — regulamenta o procedimento de certificação de imóvel rural pelo SIGEF,https://www.gov.br/incra/pt-br/centrais-de-conteudos/legislacao/in_77_2013.pdf,02,Incra,federal,,norma,Fonte não acessível (portal devolve HTML),,,,,77,defesa,"A URL termina em .pdf mas o portal do INCRA devolve HTML (content-type text/html, 362 KB de página). Pedir o PDF real."
Manual Técnico para Georreferenciamento de Imóveis Rurais — ,Manual Técnico para Georreferenciamento de Imóveis Rurais — 2ª edição/2022; aprovado pelo Incra,https://www.gov.br/incra/pt-br/assuntos/noticias/incra-lanca-2a-edicao-do-manual-para-georreferenciamento-de-imoveis-rurais,02,Incra,federal,,norma,Fonte não acessível (401),,,,,PENDENTE,defesa,"É PÁGINA DE NOTÍCIA sobre o manual, não o manual. E responde 401. Pedir o PDF do Manual Técnico de Georreferenciamento (2ª ed./2022)."
SIGEF — Sistema de Gestão Fundiária,SIGEF — Sistema de Gestão Fundiária,https://sigef.incra.gov.br/,02,Incra,federal,,referencia_operacional,Fonte oficial validada,,,,,,defesa,macrotemas: SIGEF
Acervo Fundiário do Incra — dados fundiários geoespaciais do,Acervo Fundiário do Incra — dados fundiários geoespaciais do SIGEF e SNCI,https://acervofundiario.incra.gov.br/acervo/login.php,02,Incra,federal,,referencia_operacional,Fonte oficial validada,,,,,,defesa,macrotemas: Acervo Fundiário
CCIR — Certificado de Cadastro de Imóvel Rural e SNCR,CCIR — Certificado de Cadastro de Imóvel Rural e SNCR,https://www.gov.br/incra/pt-br/assuntos/governanca-fundiaria/cadastro-imovel-rural,02,Incra,federal,,referencia_operacional,Fonte oficial validada,,,,,,defesa,macrotemas: CCIR e SNCR
"CNIR, CAFIR e CIB — consulta a cadastros de imóveis rurais","CNIR, CAFIR e CIB — consulta a cadastros de imóveis rurais",https://www.gov.br/pt-br/servicos/consultar-cadastro-nacional-de-imovel-rural,02,Incra,federal,,referencia_operacional,Fonte oficial validada,,,,,,defesa,macrotemas: CNIR/CAFIR/CIB
Instrução Normativa 2.203/2024,Instrução Normativa RFB nº 2.203/2024 — dispõe sobre o Cadastro de Imóveis Rurais (CAFIR),https://normas.receita.fazenda.gov.br/sijut2consulta/consulta.action?termoBusca=Instru%C3%A7%C3%A3o%20Normativa%202203,02,Receita Federal do Brasil,federal,,norma,Fonte não acessível (SSL),,,,,2.203,defesa,Certificado da Receita não valida na cadeia padrão. Pedir PDF ou usar fonte alternativa.
Resolução 1/2005,Resolução IBGE R.PR nº 1/2005 — estabelece SIRGAS2000 como sistema de referência geodésico para o SGB e SCN,https://geoftp.ibge.gov.br/metodos_e_outros_documentos_de_referencia/normas/rpr_01_25fev2005.pdf,02,IBGE,federal,,norma,Fonte oficial validada,,,,,1,defesa,macrotemas: Datum e referência geodésica
Resolução 1/2015,Resolução IBGE R.PR nº 1/2015 — encerra transição e orienta uso exclusivo do SIRGAS2000,https://geoftp.ibge.gov.br/metodos_e_outros_documentos_de_referencia/normas/rpr_01_2015_sirgas2000.pdf,02,IBGE,federal,,norma,Fonte oficial validada,,,,,1,defesa,macrotemas: Transformação de coordenadas
Decreto 243/1967,Decreto-Lei nº 243/1967 — Diretrizes e Bases da Cartografia Brasileira,https://www.planalto.gov.br/ccivil_03/decreto-lei/1965-1988/Del0243.htm,02,Presidência da República,federal,,norma,Fonte oficial validada,,,,,243,defesa,macrotemas: Cartografia nacional
Decreto 89.817/1984,Decreto nº 89.817/1984 — Instruções Reguladoras das Normas Técnicas da Cartografia Nacional,https://www.planalto.gov.br/ccivil_03/decreto/1980-1989/d89817.htm,02,Presidência da República,federal,,norma,Fonte oficial validada,,,,,89.817,defesa,macrotemas: Normas técnicas cartográficas
Decreto 6.666/2008,Decreto nº 6.666/2008 — institui a Infraestrutura Nacional de Dados Espaciais (INDE),https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/decreto/d6666.htm,02,Presidência da República,federal,,norma,Fonte oficial validada,,,,,6.666,defesa,macrotemas: INDE e infraestrutura de dados espaciais
Malha Municipal Digital do IBGE — limites municipais e estad,Malha Municipal Digital do IBGE — limites municipais e estaduais,https://www.ibge.gov.br/geociencias/organizacao-do-territorio/malhas-territoriais/15774-malhas.html,02,IBGE,federal,,referencia_operacional,Fonte oficial validada,,,,,,defesa,macrotemas: Malha territorial oficial
Mapas de referência do IBGE — divisão político-administrativ,"Mapas de referência do IBGE — divisão político-administrativa, altimetria e elementos físicos do território",https://www.ibge.gov.br/geociencias/cartas-e-mapas/mapas-de-referencia.html,02,IBGE,federal,,referencia_operacional,Fonte oficial validada,,,,,,defesa,macrotemas: Mapas de referência
Decreto 4.297/2002,Decreto nº 4.297/2002 — critérios mínimos do Zoneamento Ecológico-Econômico do Brasil,https://www.planalto.gov.br/ccivil_03/decreto/2002/d4297.htm,02,Presidência da República,federal,,norma,Fonte oficial validada,,,,,4.297,defesa,macrotemas: Zoneamento Ecológico-Econômico
"Portal ZEE — MMA: execução compartilhada do ZEE entre União,","Portal ZEE — MMA: execução compartilhada do ZEE entre União, estados e municípios",https://www.gov.br/mma/pt-br/assuntos/controle-ao-desmatamento-queimadas-e-ordenamento-ambiental-territorial/zoneamento-ecologico-economico/zee-nos-estados,02,MMA,federal,,referencia_operacional,Fonte oficial validada,,,,,,defesa,macrotemas: ZEE Brasil e ZEEs estaduais
"IBGE — Biomas e Sistema Costeiro-Marinho do Brasil, escala 1","IBGE — Biomas e Sistema Costeiro-Marinho do Brasil, escala 1:250.000",https://www.ibge.gov.br/geociencias/informacoes-ambientais/vegetacao/15842-biomas.html,02,IBGE,federal,,referencia_operacional,Fonte oficial validada,,,,,,defesa,macrotemas: Biomas oficiais
CNUC — Cadastro Nacional de Unidades de Conservação,CNUC — Cadastro Nacional de Unidades de Conservação,https://www.gov.br/mma/pt-br/assuntos/biodiversidade-e-biomas/areas-protegidas/plataforma-cnuc-1,02,MMA,federal,,referencia_operacional,Fonte oficial validada,,,,,,defesa,macrotemas: Unidades de Conservação
ICMBio — dados geoespaciais de unidades de conservação feder,"ICMBio — dados geoespaciais de unidades de conservação federais, cavernas e áreas embargadas",https://www.gov.br/icmbio/pt-br/assuntos/dados_geoespaciais,02,ICMBio,federal,,referencia_operacional,Fonte oficial validada,,,,,,defesa,macrotemas: Dados geoespaciais de UCs federais
FUNAI — Terras Indígenas: dados geoespaciais e mapas,FUNAI — Terras Indígenas: dados geoespaciais e mapas,https://www.gov.br/funai/pt-br/atuacao/terras-indigenas/geoprocessamento-e-mapas,02,FUNAI,federal,,referencia_operacional,Fonte oficial validada,,,,,,defesa,macrotemas: Terras indígenas
