identifier,titulo,url,bloco,orgao,esfera,uf,tipo,status_fonte,fonte_oficial,vigencia_inicio,vigencia_fim,sucessora_ref,validation_keyword,demand_types,observacao_curadoria
Lei 12.651/2012,Lei nº 12.651/2012 — Código Florestal,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12651.htm,03,União,federal,,norma,Fonte oficial validada,,,,,12.651,defesa,macrotemas: Código Florestal / proteção da vegetação nativa; APP rural; Reserva Legal; Área rural consolidada
Lei 12.727/2012,Lei nº 12.727/2012 — alterações da Lei nº 12.651/2012,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12727.htm,03,União,federal,,norma,Fonte oficial validada,,,,,12.727,defesa,macrotemas: Alterações do Código Florestal
Decreto 7.830/2012,"Decreto nº 7.830/2012 — SICAR, CAR e normas gerais do PRA",https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/decreto/d7830.htm,03,Presidência da República,federal,,norma,Fonte oficial validada,,,,,7.830,defesa,macrotemas: CAR/SICAR e PRA
Decreto 8.235/2014,Decreto nº 8.235/2014 — normas gerais complementares aos PRAs dos Estados e do DF,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2014/decreto/d8235.htm,03,Presidência da República,federal,,norma,Fonte oficial validada,,,,,8.235,defesa,macrotemas: PRA e termo de compromisso
Instrução Normativa 2/2014,"Instrução Normativa MMA nº 2/2014 — procedimentos de inscrição, registro, análise e integração do CAR/SICAR",https://www.car.gov.br/leis/IN_CAR.pdf,03,MMA,federal,,norma,Fonte não acessível (TLS),,,,,2,defesa,"car.gov.br fecha a conexão TLS (EOF). A IN MMA 02/2014 JÁ ESTÁ no corpus (ingerida de disco em abril) — nada se perde, mas a URL da planilha não serve."
Sistema de Cadastro Ambiental Rural — SICAR/CAR,Sistema de Cadastro Ambiental Rural — SICAR/CAR,https://www.car.gov.br/,03,MMA,federal,,referencia_operacional,Fonte oficial validada,,,,,,defesa,macrotemas: CAR/SICAR operacional
Lei 13.887/2019,Lei nº 13.887/2019 — alterações relacionadas ao CAR e ao PRA,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/lei/l13887.htm,03,União,federal,,norma,Fonte oficial validada,,,,,13.887,defesa,macrotemas: Adesão ao PRA e prazos
Lei 14.595/2023,Lei nº 14.595/2023 — alterações no Código Florestal sobre PRA e regularização,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2023/lei/l14595.htm,03,União,federal,,norma,Fonte oficial validada,,,,,14.595,defesa,macrotemas: Adesão ao PRA e regularização
Decreto 11.015/2022,Decreto nº 11.015/2022 — RegularizAgro,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/decreto/d11015.htm,03,Presidência da República,federal,,norma,Fonte oficial validada,,,,,11.015,defesa,macrotemas: Regularização ambiental nacional
Decreto 9.640/2018,Decreto nº 9.640/2018 — regulamenta a CRA,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/decreto/d9640.htm,03,Presidência da República,federal,,norma,Fonte oficial validada,,,,,9.640,defesa,macrotemas: Cota de Reserva Ambiental — regulamentação
